cluster,year,papers,source
robotic_surgery,2023,23,arxiv
chip_eda,2000,0,arxiv
glp1_agonists,2000,17,pubmed
glp1_agonists,2001,16,pubmed
glp1_agonists,2002,37,pubmed
glp1_agonists,2003,54,pubmed
glp1_agonists,2004,64,pubmed
glp1_agonists,2005,91,pubmed
glp1_agonists,2006,124,pubmed
glp1_agonists,2007,155,pubmed
glp1_agonists,2008,196,pubmed
glp1_agonists,2009,272,pubmed
glp1_agonists,2010,339,pubmed
glp1_agonists,2011,404,pubmed
glp1_agonists,2012,535,pubmed
glp1_agonists,2013,546,pubmed
glp1_agonists,2014,683,pubmed
glp1_agonists,2015,755,pubmed
glp1_agonists,2016,858,pubmed
glp1_agonists,2017,922,pubmed
glp1_agonists,2018,1019,pubmed
glp1_agonists,2019,1062,pubmed
glp1_agonists,2020,1189,pubmed
glp1_agonists,2021,1428,pubmed
glp1_agonists,2022,1476,pubmed
glp1_agonists,2023,1769,pubmed
glp1_agonists,2024,2890,pubmed
checkpoint_inhibitors,2000,0,pubmed
checkpoint_inhibitors,2001,0,pubmed
checkpoint_inhibitors,2002,0,pubmed
checkpoint_inhibitors,2003,0,pubmed
checkpoint_inhibitors,2004,0,pubmed
checkpoint_inhibitors,2005,0,pubmed
checkpoint_inhibitors,2006,1,pubmed
checkpoint_inhibitors,2007,0,pubmed
checkpoint_inhibitors,2008,1,pubmed
checkpoint_inhibitors,2009,0,pubmed
checkpoint_inhibitors,2010,2,pubmed
checkpoint_inhibitors,2011,6,pubmed
checkpoint_inhibitors,2012,17,pubmed
checkpoint_inhibitors,2013,54,pubmed
checkpoint_inhibitors,2014,101,pubmed
checkpoint_inhibitors,2015,322,pubmed
checkpoint_inhibitors,2016,624,pubmed
checkpoint_inhibitors,2017,1016,pubmed
checkpoint_inhibitors,2018,1441,pubmed
checkpoint_inhibitors,2019,1899,pubmed
checkpoint_inhibitors,2020,2759,pubmed
checkpoint_inhibitors,2021,3283,pubmed
checkpoint_inhibitors,2022,2893,pubmed
checkpoint_inhibitors,2023,2772,pubmed
checkpoint_inhibitors,2024,3223,pubmed
mrna_therapeutics,2000,2375,pubmed
mrna_therapeutics,2001,2549,pubmed
mrna_therapeutics,2002,2835,pubmed
mrna_therapeutics,2003,3070,pubmed
mrna_therapeutics,2004,3523,pubmed
mrna_therapeutics,2005,3922,pubmed
mrna_therapeutics,2006,4240,pubmed
mrna_therapeutics,2007,4412,pubmed
mrna_therapeutics,2008,4628,pubmed
mrna_therapeutics,2009,5002,pubmed
mrna_therapeutics,2010,5573,pubmed
mrna_therapeutics,2011,5995,pubmed
mrna_therapeutics,2012,6546,pubmed
mrna_therapeutics,2013,6799,pubmed
mrna_therapeutics,2014,7092,pubmed
mrna_therapeutics,2015,7592,pubmed
mrna_therapeutics,2016,7417,pubmed
mrna_therapeutics,2017,7198,pubmed
mrna_therapeutics,2018,7274,pubmed
mrna_therapeutics,2019,7341,pubmed
mrna_therapeutics,2020,7712,pubmed
mrna_therapeutics,2021,10703,pubmed
mrna_therapeutics,2022,12464,pubmed
mrna_therapeutics,2023,9988,pubmed
mrna_therapeutics,2024,9509,pubmed
crispr,2000,0,pubmed
crispr,2001,0,pubmed
crispr,2002,0,pubmed
crispr,2003,0,pubmed
crispr,2004,1,pubmed
crispr,2005,0,pubmed
crispr,2006,0,pubmed
crispr,2007,0,pubmed
crispr,2008,0,pubmed
crispr,2009,0,pubmed
crispr,2010,1,pubmed
crispr,2011,2,pubmed
crispr,2012,4,pubmed
crispr,2013,123,pubmed
crispr,2014,457,pubmed
crispr,2015,994,pubmed
crispr,2016,1942,pubmed
crispr,2017,2830,pubmed
crispr,2018,3756,pubmed
crispr,2019,4670,pubmed
crispr,2020,5345,pubmed
crispr,2021,5961,pubmed
crispr,2022,6163,pubmed
crispr,2023,6258,pubmed
crispr,2024,6641,pubmed
car_t_cell,2000,284,pubmed
car_t_cell,2001,311,pubmed
car_t_cell,2002,316,pubmed
car_t_cell,2003,363,pubmed
car_t_cell,2004,361,pubmed
car_t_cell,2005,390,pubmed
car_t_cell,2006,386,pubmed
car_t_cell,2007,423,pubmed
car_t_cell,2008,449,pubmed
car_t_cell,2009,452,pubmed
car_t_cell,2010,490,pubmed
car_t_cell,2011,518,pubmed
car_t_cell,2012,560,pubmed
car_t_cell,2013,642,pubmed
car_t_cell,2014,723,pubmed
car_t_cell,2015,875,pubmed
car_t_cell,2016,995,pubmed
car_t_cell,2017,1178,pubmed
car_t_cell,2018,1444,pubmed
car_t_cell,2019,1760,pubmed
car_t_cell,2020,2370,pubmed
car_t_cell,2021,2908,pubmed
car_t_cell,2022,2843,pubmed
car_t_cell,2023,3140,pubmed
car_t_cell,2024,3683,pubmed
gene_therapy_aav,2000,165,pubmed
gene_therapy_aav,2001,162,pubmed
gene_therapy_aav,2002,204,pubmed
gene_therapy_aav,2003,211,pubmed
gene_therapy_aav,2004,219,pubmed
gene_therapy_aav,2005,287,pubmed
gene_therapy_aav,2006,289,pubmed
gene_therapy_aav,2007,306,pubmed
gene_therapy_aav,2008,344,pubmed
gene_therapy_aav,2009,328,pubmed
gene_therapy_aav,2010,334,pubmed
gene_therapy_aav,2011,447,pubmed
gene_therapy_aav,2012,444,pubmed
gene_therapy_aav,2013,478,pubmed
gene_therapy_aav,2014,442,pubmed
gene_therapy_aav,2015,498,pubmed
gene_therapy_aav,2016,522,pubmed
gene_therapy_aav,2017,564,pubmed
gene_therapy_aav,2018,579,pubmed
gene_therapy_aav,2019,655,pubmed
gene_therapy_aav,2020,726,pubmed
gene_therapy_aav,2021,790,pubmed
gene_therapy_aav,2022,772,pubmed
gene_therapy_aav,2023,935,pubmed
gene_therapy_aav,2024,1045,pubmed
cftr_modulators,2000,28,pubmed
cftr_modulators,2001,31,pubmed
cftr_modulators,2002,36,pubmed
cftr_modulators,2003,34,pubmed
cftr_modulators,2004,35,pubmed
cftr_modulators,2005,33,pubmed
cftr_modulators,2006,40,pubmed
cftr_modulators,2007,34,pubmed
cftr_modulators,2008,42,pubmed
cftr_modulators,2009,50,pubmed
cftr_modulators,2010,54,pubmed
cftr_modulators,2011,71,pubmed
cftr_modulators,2012,72,pubmed
cftr_modulators,2013,90,pubmed
cftr_modulators,2014,118,pubmed
cftr_modulators,2015,157,pubmed
cftr_modulators,2016,174,pubmed
cftr_modulators,2017,185,pubmed
cftr_modulators,2018,236,pubmed
cftr_modulators,2019,257,pubmed
cftr_modulators,2020,328,pubmed
cftr_modulators,2021,416,pubmed
cftr_modulators,2022,456,pubmed
cftr_modulators,2023,504,pubmed
cftr_modulators,2024,545,pubmed
continuous_glucose,2000,63,pubmed
continuous_glucose,2001,53,pubmed
continuous_glucose,2002,73,pubmed
continuous_glucose,2003,116,pubmed
continuous_glucose,2004,101,pubmed
continuous_glucose,2005,128,pubmed
continuous_glucose,2006,131,pubmed
continuous_glucose,2007,181,pubmed
continuous_glucose,2008,206,pubmed
continuous_glucose,2009,260,pubmed
continuous_glucose,2010,264,pubmed
continuous_glucose,2011,326,pubmed
continuous_glucose,2012,351,pubmed
continuous_glucose,2013,388,pubmed
continuous_glucose,2014,387,pubmed
continuous_glucose,2015,466,pubmed
continuous_glucose,2016,472,pubmed
continuous_glucose,2017,594,pubmed
continuous_glucose,2018,701,pubmed
continuous_glucose,2019,697,pubmed
continuous_glucose,2020,906,pubmed
continuous_glucose,2021,1166,pubmed
continuous_glucose,2022,1201,pubmed
