title,peak_month,peak_views,baseline_views,spike_ratio,combined_score,months_seen,trends_peak,description
2019–20_coronavirus_pandemic,2020-03,21390289,1294288,16.53,5.2447,5,,pandemic caused by sars-cov-2
Chernobyl_disaster,2019-06,9094778,383102,23.74,2.5174,106,,1986 nuclear accident in the soviet union
Spanish_flu,2020-03,8235621,516338,15.95,2.3268,22,,1918–1920 global influenza pandemic
ChatGPT,2023-04,8009498,2421622,3.31,1.942,42,,generative ai chatbot by openai
Anthropology,2024-12,6195423,1,6195423.0,1.8742,1,,"scientific study of humans, human behavior, and societies"
2019–20_Wuhan_coronavirus_outbreak,2020-02,5737494,1786503,3.21,1.4332,4,,pandemic caused by sars-cov-2
COVID-19_pandemic,2020-05,4708916,726689,6.48,1.3685,31,,pandemic caused by sars-cov-2
2009_flu_pandemic,2020-03,4106267,582977,7.04,1.263,4,,2009–2010 pandemic of swine influenza caused by h1n1 influenza virus
Pandemic,2020-03,3323437,636511,5.22,0.9983,4,,"widespread, often global, epidemic of severe infectious disease"
Black_Death,2020-03,3137390,306851,10.22,1.1959,22,,1346–1353 pandemic in eurasia and north africa
DeepSeek,2025-01,2706762,916914,2.95,0.748,2,,chinese artificial intelligence company
Sex,2023-07,2648415,725040,3.65,0.7701,99,,trait that determines an organism's sexually reproductive function
Galapagos_shark,2015-08,2577938,573097,4.5,0.7967,2,,species of shark
Severe_acute_respiratory_syndrome_coronavirus_2,2020-03,2370964,424256,5.59,0.8053,4,,virus that causes covid-19
Sunita_Williams,2025-03,2339949,362836,6.45,0.8415,5,,u.s. navy officer and nasa astronaut (born 1965)
Zika_virus,2016-02,2331869,439061,5.31,0.7828,8,,species of flavivirus
Dire_wolf,2025-04,2331796,262717,8.88,0.961,2,,extinct species of canine mammal
Human_metapneumovirus,2025-01,2288607,1,2288607.0,1.0077,1,,species of virus
OSIRIS-REx,2023-09,2120005,1,2120005.0,0.9703,1,,nasa asteroid sample return mission (2016-2023)
Har_Gobind_Khorana,2018-01,2064889,1,2064889.0,0.958,1,,indian-american molecular biologist (1922–2011)
Solanum_aviculare,2019-05,1540973,1,1540973.0,0.8418,1,,species of plant
New_Horizons,2015-07,1306478,1,1306478.0,0.7898,1,,nasa spacecraft (2006–present)
Phentermine,2016-09,1299463,1,1299463.0,0.7882,1,,weight loss medication
C/2020_F3_(NEOWISE),2020-07,1228686,1,1228686.0,0.7725,1,,great comet of 2020
Chloroquine,2020-03,1218434,1,1218434.0,0.7703,1,,medication used to treat malaria
Favipiravir,2020-03,1194011,1,1194011.0,0.7649,1,,experimental antiviral drug with potential activity against rna viruses
Pfeiffer_syndrome,2016-04,1186039,1,1186039.0,0.7631,1,,genetic disorder of the skull
Juno_(spacecraft),2016-07,1095623,1,1095623.0,0.743,1,,second nasa orbiter mission to jupiter (2011–present)
Mpox,2024-08,1076682,1,1076682.0,0.7388,1,,viral disease of humans and animals
