ticker,name,sector,industry,main_product,enabling_tech,underlying_science
MMM,3M,Industrials,Industrial Conglomerates,none,none,none
AOS,A. O. Smith,Industrials,Building Products,none,none,none
ABT,Abbott Laboratories,Health Care,Health Care Equipment,diagnostics + medical devices,immunoassay + continuous glucose monitoring,electrochemistry + immunology
ABBV,AbbVie,Health Care,Biotechnology,immunology + oncology biologics,monoclonal antibodies + ADCs,protein engineering + immunology
ACN,Accenture,Information Technology,IT Consulting & Other Services,none,none,none
ADBE,Adobe Inc.,Information Technology,Application Software,creative software + generative AI,generative AI + image/video processing,computer vision + diffusion models
AMD,Advanced Micro Devices,Information Technology,Semiconductors,CPUs + GPUs + AI chips,chip microarchitecture design,semiconductor physics + computer architecture
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,none,none,none
AFL,Aflac,Financials,Life & Health Insurance,none,none,none
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,analytical instruments + diagnostics,LC-MS + genomics instruments,analytical chemistry + mass spectrometry
APD,Air Products,Materials,Industrial Gases,"industrial gases (H2, O2, N2)",cryogenic gas separation + green hydrogen,chemical engineering + thermodynamics
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,none,none,none
ALB,Albemarle Corporation,Materials,Specialty Chemicals,lithium compounds for batteries,lithium carbonate + lithium hydroxide refining,electrochemistry + materials science
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,none,none,none
ALGN,Align Technology,Health Care,Health Care Supplies,clear dental aligners,3D imaging + custom polymer fabrication,materials science + computer vision
ALLE,Allegion,Industrials,Building Products,none,none,none
LNT,Alliant Energy,Utilities,Electric Utilities,none,none,none
ALL,Allstate,Financials,Property & Casualty Insurance,none,none,none
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,search + cloud + AI,PageRank + transformer LLMs,information retrieval + deep learning
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,search + cloud + AI,PageRank + transformer LLMs,information retrieval + deep learning
