ticker,name,sector,industry,main_product,enabling_tech,underlying_science,mcap_2015,mcap_now,value_created
NVDA,Nvidia,Information Technology,Semiconductors,AI/ML accelerators + GPUs,massively parallel GPU computing,deep learning + linear algebra,13,5201,5188
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",iPhone + Mac + services,custom silicon (Apple Silicon) + mobile OS,semiconductor physics + computer architecture,428,4557,4129
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,search + cloud + AI,PageRank + transformer LLMs,information retrieval + deep learning,330,4349,4019
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,search + cloud + AI,PageRank + transformer LLMs,information retrieval + deep learning,321,4309,3988
MSFT,Microsoft,Information Technology,Systems Software,cloud (Azure) + AI + enterprise software,cloud computing + large language models,distributed systems + machine learning,302,3174,2873
AMZN,Amazon,Consumer Discretionary,Broadline Retail,none,none,none,232,2689,2458
AVGO,Broadcom,Information Technology,Semiconductors,networking + storage + AI ASICs,custom ASIC design,semiconductor physics,52,2269,2217
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,electric vehicles + energy storage + AI autonomy,lithium-ion batteries + FSD neural nets + power electronics,electrochemistry + deep learning + power electronics,62,1591,1529
META,Meta Platforms,Communication Services,Interactive Media & Services,social media + VR/AR + AI,social graph algorithms + LLMs + computer vision,graph theory + deep learning,202,1581,1379
MU,Micron Technology,Information Technology,Semiconductors,DRAM + NAND flash memory,flash memory cell design,semiconductor physics + charge trapping,31,1217,1186
LLY,Lilly (Eli),Health Care,Pharmaceuticals,GLP-1 drugs (Ozempic/Mounjaro) + Alzheimer drug,peptide + small molecule drug design,GLP-1 receptor biology + amyloid biology,58,962,904
AMD,Advanced Micro Devices,Information Technology,Semiconductors,CPUs + GPUs + AI chips,chip microarchitecture design,semiconductor physics + computer architecture,4,885,881
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,none,none,none,162,930,768
JPM,JPMorgan Chase,Financials,Diversified Banks,none,none,none,132,806,674
ORCL,Oracle Corporation,Information Technology,Application Software,cloud database + ERP,relational databases + cloud infrastructure,database theory,107,662,556
V,Visa Inc.,Financials,Transaction & Payment Processing Services,none,none,none,122,594,472
INTC,Intel,Information Technology,Semiconductors,CPUs + data center chips,x86 architecture + process node shrink,semiconductor physics,133,566,434
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,semiconductor etch equipment,plasma etching,plasma physics + materials science,9,430,421
CSCO,Cisco,Information Technology,Communications Equipment,none,none,none,82,499,416
XOM,ExxonMobil,Energy,Integrated Oil & Gas,none,none,none,221,632,412
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,none,none,none,30,427,397
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,semiconductor fab equipment,CVD/PVD thin-film deposition + etch,materials science + plasma physics,14,398,383
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,none,none,none,53,427,374
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,pharmaceuticals + medical devices,biologics + surgical robotics,immunology + bioengineering,178,537,360
MA,Mastercard,Financials,Transaction & Payment Processing Services,none,none,none,77,417,340
ABBV,AbbVie,Health Care,Biotechnology,immunology + oncology biologics,monoclonal antibodies + ADCs,protein engineering + immunology,76,384,308
NFLX,Netflix,Communication Services,Movies & Entertainment,none,none,none,37,343,306
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,none,none,none,45,331,286
BAC,Bank of America,Financials,Diversified Banks,none,none,none,93,372,279
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,semiconductor process control,optical + e-beam metrology,optics + signal processing,6,278,271
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,none,none,none,49,307,258
UNH,UnitedHealth Group,Health Care,Managed Health Care,none,none,none,91,342,252
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,none,none,none,128,378,250
TXN,Texas Instruments,Information Technology,Semiconductors,analog + embedded semiconductors,analog circuit design,semiconductor physics + circuit theory,38,281,243
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,none,none,none,86,312,226
ANET,Arista Networks,Information Technology,Communications Equipment,none,none,none,5,220,214
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,none,none,none,125,339,214
GE,GE Aerospace,Industrials,Aerospace & Defense,none,none,none,118,329,211
QCOM,Qualcomm,Information Technology,Semiconductors,mobile SoCs + 5G modems,CDMA/5G wireless + RF integration,signal processing + electromagnetic theory,54,264,210
PANW,Palo Alto Networks,Information Technology,Systems Software,cybersecurity platform,AI-based threat detection + XDR,machine learning,23,229,205
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",hard disk drives,perpendicular magnetic recording,physics of magnetic media,8,213,205
PM,Philip Morris International,Consumer Staples,Tobacco,none,none,none,75,274,199
PG,Procter & Gamble,Consumer Staples,Personal Care Products,none,none,none,135,326,191
IBM,IBM,Information Technology,IT Consulting & Other Services,none,none,none,97,287,190
LIN,Linde plc,Materials,Industrial Gases,industrial + medical gases + hydrogen,air separation + hydrogen electrolysis,chemical engineering + electrochemistry,46,235,188
ADI,Analog Devices,Information Technology,Semiconductors,none,none,none,27,213,186
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",hard drives + NAND flash,magnetic recording + flash memory,semiconductor physics,21,205,184
MRK,Merck & Co.,Health Care,Pharmaceuticals,cancer immunotherapy (Keytruda) + vaccines,PD-1 checkpoint inhibitor + mRNA vaccines,immuno-oncology + mRNA biology,102,283,182
APH,Amphenol,Information Technology,Electronic Components,none,none,none,16,182,166
AXP,American Express,Financials,Consumer Finance,none,none,none,46,205,159
GLW,Corning Inc.,Information Technology,Electronic Components,none,none,none,14,173,159
RTX,RTX Corporation,Industrials,Aerospace & Defense,jet engines (Pratt & Whitney) + missiles + avionics (Raytheon),gas turbine + AESA radar + precision guidance,thermodynamics + RF engineering + inertial navigation,77,232,156
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,none,none,none,40,196,156
C,Citigroup,Financials,Diversified Banks,none,none,none,69,222,153
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,none,none,none,31,174,144
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,electrical power management,power electronics + grid components,electrical engineering,22,164,142
MCD,McDonald's,Consumer Discretionary,Restaurants,none,none,none,52,194,142
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,none,none,none,21,159,138
NEE,NextEra Energy,Utilities,Multi-Utilities,wind + solar power generation,utility-scale renewable energy,electrical engineering,41,176,136
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,lab instruments + biotech manufacturing,mass spectrometry + sequencing + bioreactors,analytical chemistry + biochemistry,47,176,130
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,robotic surgery systems,robotic-assisted minimally invasive surgery,robotics + computer vision + haptics,20,144,124
AMGN,Amgen,Health Care,Biotechnology,"biologics (Enbrel, Repatha)",monoclonal antibodies + biosimilars,protein engineering + immunology,61,183,121
WFC,Wells Fargo,Financials,Diversified Banks,none,none,none,126,241,115
BLK,BlackRock,Financials,Asset Management & Custody Banks,none,none,none,43,154,111
UNP,Union Pacific Corporation,Industrials,Rail Transportation,none,none,none,47,156,108
WELL,Welltower,Real Estate,Health Care REITs,none,none,none,33,141,108
CDNS,Cadence Design Systems,Information Technology,Application Software,EDA + IP for chip design,circuit simulation + place-and-route,algorithms + circuit theory,5,113,107
NOW,ServiceNow,Information Technology,Systems Software,cloud workflow automation,SaaS platform + AI,none,16,122,106
PLD,Prologis,Real Estate,Industrial REITs,none,none,none,27,132,105
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,none,none,none,31,135,104
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,none,none,none,48,151,103
PWR,Quanta Services,Industrials,Construction & Engineering,none,none,none,4,107,103
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,life science + diagnostics instruments,chromatography + mass spec + sequencing,analytical chemistry + molecular biology,25,126,101
FTNT,Fortinet,Information Technology,Systems Software,network security,ASIC-accelerated firewall + SD-WAN,network security,6,107,101
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,none,none,none,94,195,101
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,none,none,none,12,113,101
CRM,Salesforce,Information Technology,Application Software,cloud CRM + AI agents,SaaS + vector search + LLMs,machine learning,59,156,97
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"motion + control systems (hydraulics, pneumatics)",fluid power + motion control,fluid mechanics + control systems,13,107,95
HON,Honeywell,Industrials,Industrial Conglomerates,aerospace avionics + building controls + safety,sensor fusion + IoT for buildings + avionics,electronics + aerospace engineering,47,141,94
SPGI,S&P Global,Financials,Financial Exchanges & Data,financial data + analytics,data analytics + AI,none,28,122,94
TT,Trane Technologies,Industrials,Building Products,HVAC systems,vapor-compression + heat pump systems,thermodynamics,10,103,93
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none,35,128,92
NEM,Newmont,Materials,Gold,none,none,none,23,115,92
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,none,none,none,55,145,90
CB,Chubb Limited,Financials,Property & Casualty Insurance,none,none,none,34,121,88
EQIX,Equinix,Real Estate,Data Center REITs,none,none,none,21,106,86
SNPS,Synopsys,Information Technology,Application Software,EDA software,chip design automation + formal verification,algorithms + Boolean logic,10,95,86
LMT,Lockheed Martin,Industrials,Aerospace & Defense,fighter jets + missiles + space systems,stealth materials + hypersonics + AESA radar,RF-absorbing materials + aerodynamics + RF engineering,33,118,85
CIEN,Ciena,Information Technology,Communications Equipment,none,none,none,3,88,84
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,none,none,none,32,116,84
ABT,Abbott Laboratories,Health Care,Health Care Equipment,diagnostics + medical devices,immunoassay + continuous glucose monitoring,electrochemistry + immunology,69,152,82
