ticker,name,sector,industry,main_product,enabling_tech,underlying_science,mcap_start,mcap_end,value_created
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",iPhone + Mac + services,custom silicon (Apple Silicon) + mobile OS,semiconductor physics + computer architecture,18,428,410
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,search + cloud + AI,PageRank + transformer LLMs,information retrieval + deep learning,87,330,243
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,search + cloud + AI,PageRank + transformer LLMs,information retrieval + deep learning,86,321,235
AMZN,Amazon,Consumer Discretionary,Broadline Retail,none,none,none,20,232,212
MSFT,Microsoft,Information Technology,Systems Software,cloud (Azure) + AI + enterprise software,cloud computing + large language models,distributed systems + machine learning,132,302,169
XOM,ExxonMobil,Energy,Integrated Oil & Gas,none,none,none,117,221,103
GILD,Gilead Sciences,Health Care,Biotechnology,"antiviral drugs (HIV, COVID)",nucleotide analog antivirals,virology + medicinal chemistry,9,98,89
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,pharmaceuticals + medical devices,biologics + surgical robotics,immunology + bioengineering,89,178,89
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,none,none,none,49,128,79
JPM,JPMorgan Chase,Financials,Diversified Banks,none,none,none,55,132,77
ORCL,Oracle Corporation,Information Technology,Application Software,cloud database + ERP,relational databases + cloud infrastructure,database theory,30,107,77
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,none,none,none,51,125,74
CVS,CVS Health,Health Care,Health Care Services,none,none,none,23,95,72
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,oncology + cardiovascular drugs,PD-1 checkpoint inhibitors + small molecules,immuno-oncology + medicinal chemistry,23,94,70
MRK,Merck & Co.,Health Care,Pharmaceuticals,cancer immunotherapy (Keytruda) + vaccines,PD-1 checkpoint inhibitor + mRNA vaccines,immuno-oncology + mRNA biology,36,102,66
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,oilfield services + digital for energy,seismic imaging + AI for reservoir modeling,geophysics + machine learning,33,100,66
BA,Boeing,Industrials,Aerospace & Defense,commercial aircraft + defense,composite airframes + turbofan engines,aerospace engineering + materials science,36,99,63
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,none,none,none,24,86,62
PG,Procter & Gamble,Consumer Staples,Personal Care Products,none,none,none,73,135,62
IBM,IBM,Information Technology,IT Consulting & Other Services,none,none,none,37,97,60
PCG,PG&E Corporation,Utilities,Multi-Utilities,electric + gas utility,grid infrastructure,electrical engineering,49,107,59
T,AT&T,Communication Services,Integrated Telecommunication Services,5G wireless + fiber broadband,5G + fiber-to-the-home,signal processing + RF engineering,28,83,55
CRM,Salesforce,Information Technology,Application Software,cloud CRM + AI agents,SaaS + vector search + LLMs,machine learning,4,59,55
PFE,Pfizer,Health Care,Pharmaceuticals,none,none,none,62,116,54
INTC,Intel,Information Technology,Semiconductors,CPUs + data center chips,x86 architecture + process node shrink,semiconductor physics,80,133,53
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",none,none,none,12,65,53
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"antibody drugs (Dupixent, Eylea)",fully human antibody platform (VelocImmune),immunology + genetics,1,53,53
BIIB,Biogen,Health Care,Biotechnology,"neurology drugs (MS, Alzheimer)",antisense oligonucleotides + antibodies,neuroscience + molecular biology,6,58,52
CMCSA,Comcast,Communication Services,Cable & Satellite,none,none,none,24,75,52
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,none,none,none,43,94,51
RTX,RTX Corporation,Industrials,Aerospace & Defense,jet engines (Pratt & Whitney) + missiles + avionics (Raytheon),gas turbine + AESA radar + precision guidance,thermodynamics + RF engineering + inertial navigation,28,77,48
ABT,Abbott Laboratories,Health Care,Health Care Equipment,diagnostics + medical devices,immunoassay + continuous glucose monitoring,electrochemistry + immunology,25,69,44
UNP,Union Pacific Corporation,Industrials,Rail Transportation,none,none,none,7,47,41
ACN,Accenture,Information Technology,IT Consulting & Other Services,none,none,none,10,50,40
MCD,McDonald's,Consumer Discretionary,Restaurants,none,none,none,12,52,40
AMGN,Amgen,Health Care,Biotechnology,"biologics (Enbrel, Repatha)",monoclonal antibodies + biosimilars,protein engineering + immunology,23,61,39
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,none,none,none,14,53,39
NFLX,Netflix,Communication Services,Movies & Entertainment,none,none,none,1,37,37
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,lab instruments + biotech manufacturing,mass spectrometry + sequencing + bioreactors,analytical chemistry + biochemistry,9,47,37
BLK,BlackRock,Financials,Asset Management & Custody Banks,none,none,none,7,43,36
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,none,none,none,21,57,36
SBUX,Starbucks,Consumer Discretionary,Restaurants,none,none,none,12,47,36
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none,1,35,35
MO,Altria,Consumer Staples,Tobacco,none,none,none,7,42,34
HON,Honeywell,Industrials,Industrial Conglomerates,aerospace avionics + building controls + safety,sensor fusion + IoT for buildings + avionics,electronics + aerospace engineering,13,47,34
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,none,none,none,15,48,33
CSCO,Cisco,Information Technology,Communications Equipment,none,none,none,50,82,32
LIN,Linde plc,Materials,Industrial Gases,industrial + medical gases + hydrogen,air separation + hydrogen electrolysis,chemical engineering + electrochemistry,15,46,32
MDT,Medtronic,Health Care,Health Care Equipment,cardiac devices + neuromodulation,pacemakers + deep brain stimulation,bioelectronics + neuroscience,44,75,31
MMM,3M,Industrials,Industrial Conglomerates,none,none,none,18,49,30
LLY,Lilly (Eli),Health Care,Pharmaceuticals,GLP-1 drugs (Ozempic/Mounjaro) + Alzheimer drug,peptide + small molecule drug design,GLP-1 receptor biology + amyloid biology,29,58,30
CL,Colgate-Palmolive,Consumer Staples,Household Products,none,none,none,12,41,29
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,none,none,none,26,55,29
NEE,NextEra Energy,Utilities,Multi-Utilities,wind + solar power generation,utility-scale renewable energy,electrical engineering,12,41,29
QCOM,Qualcomm,Information Technology,Semiconductors,mobile SoCs + 5G modems,CDMA/5G wireless + RF integration,signal processing + electromagnetic theory,25,54,29
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,none,none,none,21,49,28
AMT,American Tower,Real Estate,Telecom Tower REITs,cell towers + wireless infrastructure,RF antenna + tower engineering,RF engineering + electromagnetics,6,34,27
CI,Cigna,Health Care,Health Care Services,none,none,none,8,35,27
SPG,Simon Property Group,Real Estate,Retail REITs,none,none,none,9,35,26
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,none,none,none,5,31,26
D,Dominion Energy,Utilities,Multi-Utilities,natural gas + nuclear utilities,nuclear + gas generation,nuclear physics,13,39,25
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,none,none,none,9,34,25
LMT,Lockheed Martin,Industrials,Aerospace & Defense,fighter jets + missiles + space systems,stealth materials + hypersonics + AESA radar,RF-absorbing materials + aerodynamics + RF engineering,8,33,25
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,none,none,none,16,41,25
AXP,American Express,Financials,Consumer Finance,none,none,none,24,46,23
CB,Chubb Limited,Financials,Property & Casualty Insurance,none,none,none,11,34,23
DUK,Duke Energy,Utilities,Electric Utilities,none,none,none,14,38,23
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,none,none,none,5,27,22
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,none,none,none,5,28,22
MCK,McKesson Corporation,Health Care,Health Care Distributors,none,none,none,4,26,22
TXN,Texas Instruments,Information Technology,Semiconductors,analog + embedded semiconductors,analog circuit design,semiconductor physics + circuit theory,16,38,22
USB,U.S. Bancorp,Financials,Diversified Banks,none,none,none,23,45,22
ECL,Ecolab,Materials,Specialty Chemicals,none,none,none,7,29,21
GD,General Dynamics,Industrials,Aerospace & Defense,nuclear submarines + tanks + Gulfstream jets,nuclear propulsion + advanced composites,nuclear engineering + materials science,9,30,21
INTU,Intuit,Information Technology,Application Software,financial software + AI,ML for tax + accounting,machine learning,5,27,21
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,none,none,none,11,32,21
ELV,Elevance Health,Health Care,Managed Health Care,none,none,none,11,31,20
HUM,Humana,Health Care,Managed Health Care,none,none,none,4,24,20
INCY,Incyte,Health Care,Biotechnology,none,none,none,2,22,20
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,none,none,none,1,21,20
ADBE,Adobe Inc.,Information Technology,Application Software,creative software + generative AI,generative AI + image/video processing,computer vision + diffusion models,13,32,19
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,none,none,none,7,27,19
MU,Micron Technology,Information Technology,Semiconductors,DRAM + NAND flash memory,flash memory cell design,semiconductor physics + charge trapping,12,31,19
SPGI,S&P Global,Financials,Financial Exchanges & Data,financial data + analytics,data analytics + AI,none,9,28,19
SHW,Sherwin-Williams,Materials,Specialty Chemicals,paints + coatings,polymer chemistry,polymer chemistry,3,21,19
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,none,none,none,8,27,18
CCI,Crown Castle,Real Estate,Telecom Tower REITs,cell towers + small cells + fiber,wireless network densification,RF engineering,5,23,18
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,none,none,none,9,26,18
EQIX,Equinix,Real Estate,Data Center REITs,none,none,none,3,21,18
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,oilfield services,drilling + completion technology,mechanical + petroleum engineering,13,31,18
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,robotic surgery systems,robotic-assisted minimally invasive surgery,robotics + computer vision + haptics,2,20,18
SRE,Sempra,Utilities,Multi-Utilities,none,none,none,7,25,18
SYK,Stryker Corporation,Health Care,Health Care Equipment,surgical robots + orthopedics + neurotechnology,Mako robotic surgery system,robotics + materials science,15,32,18
BDX,Becton Dickinson,Health Care,Health Care Equipment,medical devices + diagnostics,flow cytometry + microbiology diagnostics,molecular biology + optics,9,25,17
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,none,none,none,13,30,17
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,life science + diagnostics instruments,chromatography + mass spec + sequencing,analytical chemistry + molecular biology,8,25,17
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,none,none,none,33,51,17
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,flavors + fragrances + ingredients,synthetic biology for flavor molecules,biochemistry + synthetic biology,6,23,17
PSA,Public Storage,Real Estate,Self-Storage REITs,none,none,none,5,22,17
O,Realty Income,Real Estate,Retail REITs,none,none,none,8,25,17
APD,Air Products,Materials,Industrial Gases,"industrial gases (H2, O2, N2)",cryogenic gas separation + green hydrogen,chemical engineering + thermodynamics,8,23,16
ADI,Analog Devices,Information Technology,Semiconductors,none,none,none,11,27,16
FISV,Fiserv,Financials,Transaction & Payment Processing Services,none,none,none,6,21,16
