decade,rank,ticker,name,sector,enabling_tech,underlying_science,start_mcap_b,end_mcap_b,value_created_b
1985-1995,1,C,Citigroup,Financials,none,none,14.4,45.4,30.9
1985-1995,2,BAC,Bank of America,Financials,none,none,10.3,36.0,25.7
1985-1995,3,KO,Coca-Cola Company (The),Consumer Staples,none,none,2.0,25.3,23.3
1985-1995,4,XOM,ExxonMobil,Energy,none,none,5.2,23.4,18.2
1985-1995,5,DIS,Walt Disney Company (The),Communication Services,none,none,1.5,19.7,18.2
1985-1995,6,GE,GE Aerospace,Industrials,none,none,4.2,21.0,16.7
1985-1995,7,VZ,Verizon,Communication Services,5G NR (New Radio) networks,signal processing + RF engineering,5.3,22.0,16.7
1985-1995,8,WMT,Walmart,Consumer Staples,none,none,1.9,17.0,15.2
1985-1995,9,MRK,Merck & Co.,Health Care,PD-1 checkpoint inhibitor + mRNA vaccines,immuno-oncology + mRNA biology,1.7,15.9,14.2
1985-1995,10,PG,Procter & Gamble,Consumer Staples,none,none,2.8,16.6,13.9
1995-2005,1,C,Citigroup,Financials,none,none,45.4,505.4,460.1
1995-2005,2,BAC,Bank of America,Financials,none,none,36.0,204.8,168.8
1995-2005,3,GE,GE Aerospace,Industrials,none,none,21.0,109.8,88.8
1995-2005,4,XOM,ExxonMobil,Energy,none,none,23.4,101.7,78.3
1995-2005,5,WMT,Walmart,Consumer Staples,none,none,17.0,92.9,75.8
1995-2005,6,JNJ,Johnson & Johnson,Health Care,biologics + surgical robotics,immunology + bioengineering,15.3,82.2,66.9
1995-2005,7,PG,Procter & Gamble,Consumer Staples,none,none,16.6,70.9,54.2
1995-2005,8,JPM,JPMorgan Chase,Financials,none,none,13.4,59.4,46.0
1995-2005,9,PFE,Pfizer,Health Care,none,none,11.9,57.3,45.4
1995-2005,10,WFC,Wells Fargo,Financials,none,none,7.7,52.5,44.8
2005-2015,1,AAPL,Apple Inc.,Information Technology,custom silicon (Apple Silicon) + mobile OS,semiconductor physics + computer architecture,18.0,428.0,410.0
2005-2015,2,GOOGL,Alphabet Inc. (Class A),Communication Services,PageRank + transformer LLMs,information retrieval + deep learning,87.0,330.0,243.0
2005-2015,3,GOOG,Alphabet Inc. (Class C),Communication Services,PageRank + transformer LLMs,information retrieval + deep learning,86.0,321.0,235.0
2005-2015,4,AMZN,Amazon,Consumer Discretionary,none,none,20.0,232.0,212.0
2005-2015,5,MSFT,Microsoft,Information Technology,cloud computing + large language models,distributed systems + machine learning,132.0,302.0,169.0
2005-2015,6,XOM,ExxonMobil,Energy,none,none,117.0,221.0,103.0
2005-2015,7,GILD,Gilead Sciences,Health Care,nucleotide analog antivirals,virology + medicinal chemistry,9.0,98.0,89.0
2005-2015,8,JNJ,Johnson & Johnson,Health Care,biologics + surgical robotics,immunology + bioengineering,89.0,178.0,89.0
2005-2015,9,CVX,Chevron Corporation,Energy,none,none,49.0,128.0,79.0
2005-2015,10,JPM,JPMorgan Chase,Financials,none,none,55.0,132.0,77.0
2015-2025,1,NVDA,Nvidia,Information Technology,massively parallel GPU computing,deep learning + linear algebra,13.0,5201.0,5188.0
2015-2025,2,AAPL,Apple Inc.,Information Technology,custom silicon (Apple Silicon) + mobile OS,semiconductor physics + computer architecture,428.0,4557.0,4129.0
2015-2025,3,GOOGL,Alphabet Inc. (Class A),Communication Services,PageRank + transformer LLMs,information retrieval + deep learning,330.0,4349.0,4019.0
2015-2025,4,GOOG,Alphabet Inc. (Class C),Communication Services,PageRank + transformer LLMs,information retrieval + deep learning,321.0,4309.0,3988.0
2015-2025,5,MSFT,Microsoft,Information Technology,cloud computing + large language models,distributed systems + machine learning,302.0,3174.0,2873.0
2015-2025,6,AMZN,Amazon,Consumer Discretionary,none,none,232.0,2689.0,2458.0
2015-2025,7,AVGO,Broadcom,Information Technology,custom ASIC design,semiconductor physics,52.0,2269.0,2217.0
2015-2025,8,TSLA,"Tesla, Inc.",Consumer Discretionary,lithium-ion batteries + FSD neural nets + power electronics,electrochemistry + deep learning + power electronics,62.0,1591.0,1529.0
2015-2025,9,META,Meta Platforms,Communication Services,social graph algorithms + LLMs + computer vision,graph theory + deep learning,202.0,1581.0,1379.0
2015-2025,10,MU,Micron Technology,Information Technology,flash memory cell design,semiconductor physics + charge trapping,31.0,1217.0,1186.0
